portfolio_id,security,original_quantity,crossed_quantity,remaining_quantity,trade_direction
P-36182,CL US,-13400,0,-13400,SELL
S-17147,CMA US,-2200,-1600,-600,SELL
S-17147,CAG US,-11000,-10500,-500,SELL
S-17147,ED US,-22800,0,-22800,SELL
P-36182,ED US,-1200,0,-1200,SELL
S-17147,CCK US,-1600,0,-1600,SELL
S-17147,CSX US,-35400,0,-35400,SELL
P-36182,CSX US,-3200,0,-3200,SELL
S-17147,CMI US,-800,0,-800,SELL
S-17147,DHR US,-9800,0,-9800,SELL
P-36182,DHR US,-1600,0,-1600,SELL
S-17147,TGT US,20400,0,20400,BUY
P-36182,TGT US,1200,0,1200,BUY
S-17147,DE US,-3400,0,-3400,SELL
P-36182,DE US,-400,0,-400,SELL
S-17147,DIS US,2200,0,2200,BUY
P-36182,DIS US,1000,0,1000,BUY
S-17147,D US,-147200,0,-147200,SELL
S-17147,DCI US,7800,0,7800,BUY
P-47227,DCI US,2500,0,2500,BUY
S-17147,DOV US,-2400,0,-2400,SELL
S-17147,ETN US,-5800,-400,-5400,SELL
S-17147,ECL US,7800,0,7800,BUY
S-17147,RVTY US,-2200,0,-2200,SELL
S-17147,EMR US,-1000,0,-1000,SELL
S-17147,ETR US,-1000,0,-1000,SELL
S-17147,EFX US,-800,0,-800,SELL
S-17147,EQT US,-8400,0,-8400,SELL
S-17147,NEU US,-600,0,-600,SELL
S-17147,FDX US,9400,0,9400,BUY
S-17147,FRT US,8400,0,8400,BUY
S-17147,M US,20600,0,20600,BUY
P-47227,M US,13000,0,13000,BUY
S-17147,FMC US,600,0,600,BUY
P-36182,FMC US,2800,0,2800,BUY
S-17147,F US,300200,0,300200,BUY
P-47227,F US,18000,0,18000,BUY
P-36182,F US,8800,0,8800,BUY
S-17147,NEE US,21200,0,21200,BUY
S-17147,BEN US,18200,0,18200,BUY
P-36182,BEN US,4200,0,4200,BUY
S-17147,FCX US,-11000,0,-11000,SELL
P-36182,FCX US,-43600,0,-43600,SELL
S-17147,AJG US,-600,0,-600,SELL
P-36182,GAP US,4200,3000,1200,BUY
S-17147,GD US,14400,0,14400,BUY
P-36182,GD US,3000,0,3000,BUY
S-17147,GE US,-19200,0,-19200,SELL
P-36182,GE US,-11200,0,-11200,SELL
S-17147,GIS US,-1400,0,-1400,SELL
S-17147,GPC US,-2300,0,-2300,SELL
P-47227,GPC US,-1500,0,-1500,SELL
S-17147,GWW US,-400,0,-400,SELL
P-47227,GWW US,-500,0,-500,SELL
P-36182,GWW US,-200,0,-200,SELL
S-17147,HAL US,-2800,0,-2800,SELL
P-47227,HAL US,-27000,0,-27000,SELL
S-17147,LHX US,13200,1000,12200,BUY
S-17147,DOC US,-11600,0,-11600,SELL
P-36182,DOC US,-5600,0,-5600,SELL
S-17147,HSY US,-4000,0,-4000,SELL
P-47227,HSY US,-1500,0,-1500,SELL
P-36182,HSY US,-600,0,-600,SELL
P-47227,HPQ US,7500,2600,4900,BUY
P-36182,HPQ US,3600,0,3600,BUY
S-17147,HXL US,11400,0,11400,BUY
S-17147,HD US,800,600,200,BUY
S-17147,HRL US,-6400,0,-6400,SELL
S-17147,CNP US,-1600,0,-1600,SELL
S-17147,HUBB US,-600,0,-600,SELL
P-36182,HUBB US,-400,0,-400,SELL
S-17147,HUM US,-800,0,-800,SELL
P-47227,HUM US,-1000,0,-1000,SELL
S-17147,IDA US,2000,0,2000,BUY
S-17147,ITW US,-4200,0,-4200,SELL
P-36182,ITW US,-600,0,-600,SELL
S-17147,TT US,-3200,0,-3200,SELL
P-36182,TT US,-400,0,-400,SELL
S-17147,IBM US,6400,0,6400,BUY
S-17147,IFF US,-800,0,-800,SELL
P-36182,JNJ US,-19400,-1400,-18000,SELL
S-17147,K US,-5000,0,-5000,SELL
P-36182,K US,-38600,0,-38600,SELL
S-17147,KMB US,-2400,0,-2400,SELL
S-17147,KIM US,-10400,-9000,-1400,SELL
P-61230,KSS US,12382,11100,1282,BUY
S-17147,KR US,-17000,0,-17000,SELL
S-17147,JEF US,-6000,0,-6000,SELL
S-17147,LLY US,-9800,0,-9800,SELL
P-36182,LLY US,-1000,0,-1000,SELL
P-36182,LNC US,2600,2400,200,BUY
S-17147,L US,-3700,0,-3700,SELL
P-36182,LOW US,-800,-600,-200,SELL
S-17147,MAN US,-3600,-2800,-800,SELL
S-17147,HST US,3600,0,3600,BUY
P-47227,HST US,11500,0,11500,BUY
S-17147,MMC US,-7600,0,-7600,SELL
P-36182,MMC US,-600,0,-600,SELL
S-17147,MAS US,-6800,0,-6800,SELL
